# Handy Radiology rules v2
# TYPE<TAB>SOURCE<TAB>TARGET
CMD	ponto parágrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto paragrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto final parágrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto final paragrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto novo parágrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto novo paragrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto final novo parágrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	ponto final novo paragrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	parágrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	paragrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	novo parágrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	novo paragrafo nova linha	__HANDY_PARAGRAPH_BLANK__
CMD	nova linha dupla	__HANDY_BLANKLINE__
CMD	duas novas linhas	__HANDY_BLANKLINE__
CMD	novo parágrafo	__HANDY_PARAGRAPH__
CMD	novo paragrafo	__HANDY_PARAGRAPH__
CMD	parágrafo novo	__HANDY_PARAGRAPH__
CMD	paragrafo novo	__HANDY_PARAGRAPH__
CMD	parágrafo	__HANDY_PARAGRAPH__
CMD	paragrafo	__HANDY_PARAGRAPH__
CMD	nova linha	__HANDY_NL__
CMD	linha nova	__HANDY_NL__
CMD	quebra de linha	__HANDY_NL__
CMD	ponto e vírgula	;
CMD	ponto e virgula	;
CMD	ponto final	.
CMD	dois pontos	:
CMD	ponto de interrogação	?
CMD	ponto de interrogacao	?
CMD	interrogação	?
CMD	interrogacao	?
CMD	ponto de exclamação	!
CMD	ponto de exclamacao	!
CMD	exclamação	!
CMD	exclamacao	!
CMD	vírgula	,
CMD	virgula	,
CMD	abre parênteses	(
CMD	abre parenteses	(
CMD	abrir parênteses	(
CMD	abrir parenteses	(
CMD	fecha parênteses	)
CMD	fecha parenteses	)
CMD	fechar parênteses	)
CMD	fechar parenteses	)
CMD	abre colchetes	[
CMD	abrir colchetes	[
CMD	fecha colchetes	]
CMD	fechar colchetes	]
CMD	abre chaves	{
CMD	abrir chaves	{
CMD	fecha chaves	}
CMD	fechar chaves	}
CMD	abre aspas	"
CMD	abrir aspas	"
CMD	fecha aspas	"
CMD	fechar aspas	"
CMD	reticências	…
CMD	reticencias	…
CMD	barra invertida	\
CMD	barra	/
CMD	sinal de hífen	-
CMD	sinal de hifen	-
CMD	hífen	-
CMD	hifen	-
CMD	travessão	—
CMD	travessao	—
CMD	sinal de mais	+
CMD	sinal de menos	-
CMD	sinal de igual	=
CMD	sinal de porcentagem	%
CMD	símbolo de grau	°
CMD	simbolo de grau	°
CMD	arroba	@
CMD	cerquilha	#
CMD	hashtag	#
CMD	ampersand	&
ALIAS	grau	grau
ALIAS	pi rads 2	PI-RADS 2
ALIAS	pi rads dois	PI-RADS 2
ALIAS	pi rads 3	PI-RADS 3
ALIAS	pi rads tres	PI-RADS 3
ALIAS	pi rads três	PI-RADS 3
ALIAS	pi rads 4	PI-RADS 4
ALIAS	pi rads quatro	PI-RADS 4
ALIAS	pi rads 5	PI-RADS 5
ALIAS	pi rads cinco	PI-RADS 5
ALIAS	pi rads	PI-RADS
ALIAS	pirads	PI-RADS
ALIAS	bi rads 3	BI-RADS 3
ALIAS	bi rads 4	BI-RADS 4
ALIAS	bi rads 5	BI-RADS 5
ALIAS	bi rads 6	BI-RADS 6
ALIAS	bi rads	BI-RADS
ALIAS	birads	BI-RADS
ALIAS	li rads	LI-RADS
ALIAS	lirads	LI-RADS
ALIAS	o rads	O-RADS
ALIAS	orads	O-RADS
ALIAS	ti rads	TI-RADS
ALIAS	tirads	TI-RADS
ALIAS	renal score	R.E.N.A.L. score
ALIAS	renal escore	R.E.N.A.L. score
ALIAS	recist 1.1	RECIST 1.1
ALIAS	irecist	iRECIST
ALIAS	d w i	DWI
ALIAS	a d c	ADC
ALIAS	s w i	SWI
ALIAS	f l a i r	FLAIR
ALIAS	s t i r	STIR
ALIAS	m r f	MRF
ALIAS	e m v i	EMVI
ALIAS	p s a	PSA
MAP	deiscencia do canal semicircular superior	deiscência do canal semicircular superior
MAP	histiocitose de celulas de Langerhans	histiocitose de células de Langerhans
MAP	malformacao arteriovenosa pulmonar	malformação arteriovenosa pulmonar
MAP	infiltracao gordurosa pancreatica	infiltração gordurosa pancreática
MAP	espectro de acretismo placentario	espectro de acretismo placentário
MAP	tenossinovite de celulas gigantes	tenossinovite de células gigantes
MAP	malformacao adenomatoide cistica	malformação adenomatoide cística
MAP	tumor neuroendocrino pancreatico	tumor neuroendócrino pancreático
MAP	tendao da cabeca longa do biceps	tendão da cabeça longa do bíceps
MAP	microcalcificacoes pleomorficas	microcalcificações pleomórficas
MAP	estenose hipertrofica do piloro	estenose hipertrófica do piloro
MAP	fistula arteriovenosa pulmonar	fístula arteriovenosa pulmonar
MAP	esteatonecrose peripancreatica	esteatonecrose peripancreática
MAP	hiperplasia prostatica benigna	hiperplasia prostática benigna
MAP	tumor de celulas da granulosa	tumor de células da granulosa
MAP	articulacao acromioclavicular	articulação acromioclavicular
MAP	cisto de inclusao peritoneal	cisto de inclusão peritoneal
MAP	compressao do tronco celiaco	compressão do tronco celíaco
MAP	microcalcificacoes agrupadas	microcalcificações agrupadas
MAP	recanalizacao paraumbilical	recanalização paraumbilical
MAP	carcinoma de celulas renais	carcinoma de células renais
MAP	excissao total do mesorreto	excissão total do mesorreto
